software,e,s,total
Zshlayer,[],[],0
briar,[],[],0
darkmatter,[],[],0
dfls,[],[],0
jBiFrost,[],[],0
jFrutas,[],[],0
oxide,[],[],0
ricinus,[],[],0
sKyWIper,[],[],0
webhp,[],[],0
wp_encrypt,[],[],0
xFrost,[],[],0
xRAT,[],[],0
